ds;region;production
2019-01-02;AMS;0.0
2019-01-02;AMS;0.0
2019-01-02;GLD;5821.62
2019-01-02;GLD;4709.52
2019-01-02;AMS;0.0
2019-01-02;GLD;7724.79
2019-01-02;AMS;61876.12
2019-01-02;AMS;7943.8
2019-01-03;GLD;5143.0
2019-01-03;GLD;28968.86
2019-01-03;GLD;36886.97
2019-01-03;GLD;7136.64
2019-01-03;GLD;301.96
2019-01-07;AMS;5505.03
2019-01-07;AMS;586.14
2019-01-07;AMS;7943.8
2019-01-07;RBNH;97.69
2019-01-07;GLD;19405.4
2019-01-07;GLD;24837.21
2019-01-07;GLD;14128.56
2019-01-07;RBNH;10888.31
2019-01-07;GLD;54846.41
2019-01-07;GLD;4709.52
2019-01-07;RBNH;68334.73
2019-01-07;RBNH;1801.93
2019-01-07;GLD;488.45
2019-01-07;AMS;58801.16
2019-01-07;AMS;40889.95
2019-01-07;GLD;6930.5
2019-01-07;RBNH;4709.52
2019-01-07;RBNH;8288.89
2019-01-07;RBNH;102556.67
2019-01-07;AMS;7724.79
2019-01-07;NHN;17126.76
2019-01-07;AMS;5683.01
2019-01-07;NHN;4019.69
2019-01-07;NHN;56155.75
2019-01-07;RBNH;58801.16
2019-01-07;RBNH;1953.8
2019-01-07;AMS;293.07
2019-01-07;GLD;7724.79
2019-01-08;AMS;103957.5
2019-01-08;GLD;21286.64
2019-01-08;GLD;1856.11
2019-01-08;GLD;48525.82
2019-01-08;GLD;20930.11
2019-01-08;GLD;15801.54
2019-01-08;GLD;8288.89
2019-01-08;GLD;2777.4
2019-01-08;GLD;42137.44
2019-01-08;GLD;61876.12
2019-01-08;GLD;8288.89
2019-01-09;AMS;5799.01
2019-01-09;AMS;22959.84
2019-01-09;AMS;6677.47
2019-01-09;AMS;26709.59
2019-01-09;AMS;79146.31
2019-01-09;AMS;8288.89
2019-01-09;AMS;26456.1
2019-01-09;AMS;15247.1
2019-01-09;AMS;61876.12
2019-01-09;AMS;1465.35
2019-01-09;NHN;9425.48
2019-01-09;AMS;9911.64
2019-01-09;AMS;93793.84
2019-01-09;AMS;60963.11
2019-01-09;AMS;7136.64
2019-01-09;AMS;966.68
2019-01-09;AMS;3483.75
2019-01-09;AMS;9582.83
2019-01-09;AMS;51479.43
2019-01-09;AMS;5100.0
2019-01-09;AMS;24949.8
2019-01-09;AMS;7724.79
2019-01-09;NHN;8288.89
2019-01-10;GLD;7136.64
2019-01-10;GLD;4396.05
2019-01-10;NHN;61876.12
2019-01-10;GLD;4709.52
2019-01-10;AMS;976.9
2019-01-10;GLD;35907.69
2019-01-10;GLD;24837.21
2019-01-10;NHN;10888.31
2019-01-10;NHN;41028.56
2019-01-10;AMS;70413.88
2019-01-10;NHN;8288.89
2019-01-10;NHN;89403.45
2019-01-10;NHN;12960.24
2019-01-10;FNOP;21409.92
2019-01-10;NHN;85416.39
2019-01-10;FNOP;0.0
2019-01-10;AMS;4989.96
2019-01-10;FNOP;41860.22
2019-01-10;AMS;8288.89
2019-01-11;RBNH;759.0
2019-01-11;FNOP;24837.21
2019-01-11;RBNH;29385.32
2019-01-11;GLD;97442.83
2019-01-11;NHN;7724.79
2019-01-11;RBNH;6231.18
2019-01-11;FNOP;64429.24
2019-01-11;NHN;24949.8
2019-01-11;GLD;4574.13
2019-01-11;GLD;8288.89
2019-01-11;GLD;7724.79
2019-01-11;RBNH;390.76
2019-01-11;NHN;23563.7
2019-01-11;NHN;17049.03
2019-01-11;NHN;77621.6
2019-01-11;GLD;13841.1
2019-01-11;NHN;7792.53
2019-01-11;RBNH;7136.64
2019-01-11;GLD;301.96
2019-01-11;RBNH;10271.56
2019-01-11;GLD;5143.0
2019-01-11;FNOP;18350.1
2019-01-11;RBNH;4709.52
2019-01-11;FNOP;24837.21
2019-01-14;FNOP;9182.86
2019-01-14;GLD;31048.64
2019-01-14;NHN;26074.32
2019-01-14;GLD;7724.79
2019-01-14;NHN;20185.11
2019-01-14;RBNH;6116.7
2019-01-14;RBNH;26074.32
2019-01-14;FNOP;212.94
2019-01-14;FNOP;13167.95
2019-01-14;GLD;17975.23
2019-01-15;NHN;462.9
2019-01-15;NHN;58801.16
2019-01-15;RBNH;7724.79
2019-01-15;GLD;12369.37
2019-01-15;NHN;13299.2
2019-01-15;RBNH;9911.64
2019-01-15;NHN;0.0
2019-01-15;NHN;7136.64
2019-01-15;AMS;2854.05
2019-01-15;NHN;5708.92
2019-01-15;AMS;28148.7
2019-01-15;NHN;7733.79
2019-01-15;GLD;1214.4
2019-01-15;AMS;5799.01
2019-01-15;GLD;1108.88
2019-01-15;AMS;6677.47
2019-01-15;GLD;4280.1
2019-01-15;NHN;0.0
2019-01-15;RBNH;1247.49
2019-01-15;GLD;12369.37
2019-01-15;RBNH;7951.71
2019-01-15;NHN;160510.38
2019-01-16;AMS;24837.21
2019-01-16;AMS;138.61
2019-01-16;AMS;26074.32
2019-01-16;GLD;24837.21
2019-01-16;AMS;1386.1
2019-01-16;AMS;27729.04
2019-01-16;GLD;48525.82
2019-01-16;AMS;8288.89
2019-01-16;AMS;120018.72
2019-01-16;GLD;11820.49
2019-01-16;AMS;10194.5
2019-01-16;GLD;4709.52
2019-01-17;AMS;1110.96
2019-01-17;GLD;70096.32
2019-01-17;AMS;5799.01
2019-01-17;FNOP;66468.14
2019-01-17;GLD;11366.02
2019-01-17;GLD;1296.12
2019-01-17;GLD;8116.2
2019-01-17;AMS;6677.47
2019-01-17;NHN;11918.18
2019-01-17;GLD;4709.52
2019-01-17;GLD;8163.37
2019-01-17;GLD;4709.52
2019-01-17;FNOP;6930.5
2019-01-17;GLD;28968.86
2019-01-17;FNOP;5861.4
2019-01-17;GLD;7724.79
2019-01-17;FNOP;26107.56
2019-01-17;FNOP;21198.73
2019-01-17;GLD;6935.99
2019-01-17;GLD;14571.87
2019-01-17;NHN;4709.52
2019-01-17;GLD;34392.0
2019-01-18;NHN;58801.16
2019-01-18;NHN;30355.59
2019-01-18;GLD;37979.14
2019-01-18;GLD;11227.41
2019-01-18;AMS;557.4
